Hu0,a,raw_sleep_period,sleep_period
0.710526316,0.136470588,24.0473125,24.03814931
0.710526316,0.147058824,24.08375,24.03814931
0.710526316,0.157647059,24.015,24.03814931
0.710526316,0.168235294,24.0264375,24.03814931
0.710526316,0.178823529,24.0316875,24.03814931
0.710526316,0.189411765,24.015375,24.03814931
0.710526316,0.2,24.0511875,24.03814931
0.710526316,0.2,24.0511875,24.03814931
0.710526316,0.2,24.0511875,24.03814931
0.731578947,0.02,24.8804375,24.90983438
0.731578947,0.030588235,24.9045,24.90839931
0.731578947,0.041176471,24.890875,24.90839931
0.731578947,0.051764706,24.9146875,24.90839931
0.731578947,0.062352941,24.909875,24.90839931
0.731578947,0.072941176,24.9168125,24.90839931
0.731578947,0.083529412,24.915875,24.90839931
0.731578947,0.094117647,24.9183125,24.90839931
0.731578947,0.104705882,24.8954375,24.90839931
0.731578947,0.115294118,24.922375,24.90839931
0.731578947,0.125882353,24.9289375,24.90839931
0.731578947,0.136470588,24.9173125,24.90839931
0.731578947,0.147058824,24.9464375,24.90839931
0.731578947,0.157647059,24.883,24.90839931
0.731578947,0.168235294,24.8755625,24.90839931
0.731578947,0.178823529,24.9224375,24.90839931
0.731578947,0.189411765,24.8855625,24.90839931
0.731578947,0.2,24.92275,24.90839931
0.731578947,0.2,24.92275,24.90839931
0.731578947,0.2,24.92275,24.90839931
0.752631579,0.02,25.7813125,25.77180625
0.752631579,0.030588235,25.7811875,25.77254861
0.752631579,0.041176471,25.7793125,25.77254861
0.752631579,0.051764706,25.7941875,25.77254861
0.752631579,0.062352941,25.76475,25.77254861
0.752631579,0.072941176,25.762875,25.77254861
0.752631579,0.083529412,25.7420625,25.77254861
0.752631579,0.094117647,25.821625,25.77254861
0.752631579,0.104705882,25.767375,25.77254861
0.752631579,0.115294118,25.763125,25.77254861
0.752631579,0.125882353,25.7600625,25.77254861
0.752631579,0.136470588,25.7654375,25.77254861
0.752631579,0.147058824,25.778625,25.77254861
0.752631579,0.157647059,25.771625,25.77254861
0.752631579,0.168235294,25.7576875,25.77254861
0.752631579,0.178823529,25.7875,25.77254861
0.752631579,0.189411765,25.762,25.77254861
0.752631579,0.2,25.765125,25.77254861
0.752631579,0.2,25.765125,25.77254861
0.752631579,0.2,25.765125,25.77254861
0.773684211,0.02,26.6603125,26.61608125
0.773684211,0.030588235,26.631375,26.61436806
0.773684211,0.041176471,26.6075625,26.61436806
0.773684211,0.051764706,26.6265,26.61436806
0.773684211,0.062352941,26.625875,26.61436806
0.773684211,0.072941176,26.6169375,26.61436806
0.773684211,0.083529412,26.607625,26.61436806
0.773684211,0.094117647,26.62725,26.61436806
0.773684211,0.104705882,26.5894375,26.61436806
0.773684211,0.115294118,26.623,26.61436806
0.773684211,0.125882353,26.5750625,26.61436806
0.773684211,0.136470588,26.604875,26.61436806
0.773684211,0.147058824,26.621625,26.61436806
0.773684211,0.157647059,26.6039375,26.61436806
0.773684211,0.168235294,26.562,26.61436806
0.773684211,0.178823529,26.610875,26.61436806
0.773684211,0.189411765,26.632875,26.61436806
0.773684211,0.2,26.6315,26.61436806
0.773684211,0.2,26.6315,26.61436806
0.773684211,0.2,26.6315,26.61436806
0.794736842,0.02,27.4719375,27.45909375
0.794736842,0.030588235,27.4353125,27.45704861
0.794736842,0.041176471,27.4366875,27.45704861
0.794736842,0.051764706,27.4384375,27.45704861
0.794736842,0.062352941,27.453,27.45704861
0.794736842,0.072941176,27.420625,27.45704861
0.794736842,0.083529412,27.4799375,27.45704861
0.794736842,0.094117647,27.4455625,27.45704861
0.794736842,0.104705882,27.451625,27.45704861
0.794736842,0.115294118,27.44925,27.45704861
0.794736842,0.125882353,27.4565,27.45704861
0.794736842,0.136470588,27.4735,27.45704861
0.794736842,0.147058824,27.4403125,27.45704861
0.794736842,0.157647059,27.476125,27.45704861
0.794736842,0.168235294,27.493125,27.45704861
0.794736842,0.178823529,27.4756875,27.45704861
0.794736842,0.189411765,27.45175,27.45704861
0.794736842,0.2,27.4775,27.45704861
0.794736842,0.2,27.4775,27.45704861
0.794736842,0.2,27.4775,27.45704861
0.815789474,0.02,28.2810625,28.30130313
0.815789474,0.030588235,28.3094375,28.30245486
0.815789474,0.041176471,28.2994375,28.30245486
0.815789474,0.051764706,28.3204375,28.30245486
0.815789474,0.062352941,28.3243125,28.30245486
0.815789474,0.072941176,28.3049375,28.30245486
0.815789474,0.083529412,28.295625,28.30245486
0.815789474,0.094117647,28.25725,28.30245486
0.815789474,0.104705882,28.32075,28.30245486
0.815789474,0.115294118,28.3055625,28.30245486
0.815789474,0.125882353,28.3065625,28.30245486
0.815789474,0.136470588,28.3149375,28.30245486
0.815789474,0.147058824,28.280125,28.30245486
0.815789474,0.157647059,28.290125,28.30245486
0.815789474,0.168235294,28.3370625,28.30245486
0.815789474,0.178823529,28.317875,28.30245486
0.815789474,0.189411765,28.28775,28.30245486
0.815789474,0.2,28.2909375,28.30245486
0.815789474,0.2,28.2909375,28.30245486
0.815789474,0.2,28.2909375,28.30245486
0.836842105,0.02,29.1313125,29.13427813
0.836842105,0.030588235,29.1450625,29.13591319
0.836842105,0.041176471,29.138625,29.13591319
0.836842105,0.051764706,29.136875,29.13591319
0.836842105,0.062352941,29.117375,29.13591319
0.836842105,0.072941176,29.1538125,29.13591319
0.836842105,0.083529412,29.1428125,29.13591319
0.836842105,0.094117647,29.099875,29.13591319
0.836842105,0.104705882,29.12625,29.13591319
0.836842105,0.115294118,29.128875,29.13591319
0.836842105,0.125882353,29.14425,29.13591319
0.836842105,0.136470588,29.1371875,29.13591319
0.836842105,0.147058824,29.1450625,29.13591319
0.836842105,0.157647059,29.1335,29.13591319
0.836842105,0.168235294,29.14275,29.13591319
0.836842105,0.178823529,29.167,29.13591319
0.836842105,0.189411765,29.13625,29.13591319
0.836842105,0.2,29.1195625,29.13591319
0.836842105,0.2,29.1195625,29.13591319
0.836842105,0.2,29.1195625,29.13591319
0.857894737,0.02,30.003125,29.98427813
0.857894737,0.030588235,29.963,29.98588542
0.857894737,0.041176471,29.9754375,29.98588542
0.857894737,0.051764706,29.9506875,29.98588542
0.857894737,0.062352941,29.9920625,29.98588542
0.857894737,0.072941176,30.01975,29.98588542
0.857894737,0.083529412,29.989,29.98588542
0.857894737,0.094117647,29.9831875,29.98588542
0.857894737,0.104705882,29.9973125,29.98588542
0.857894737,0.115294118,30.0225625,29.98588542
0.857894737,0.125882353,30.003,29.98588542
0.857894737,0.136470588,29.977875,29.98588542
0.857894737,0.147058824,29.9685625,29.98588542
0.857894737,0.157647059,29.9579375,29.98588542
0.857894737,0.168235294,29.9754375,29.98588542
0.857894737,0.178823529,30.0080625,29.98588542
0.857894737,0.189411765,29.989125,29.98588542
0.857894737,0.2,29.9698125,29.98588542
0.857894737,0.2,29.9698125,29.98588542
0.857894737,0.2,29.9698125,29.98588542
0.878947368,0.02,30.8484375,30.80267813
0.878947368,0.030588235,30.772375,30.80598264
0.878947368,0.041176471,30.8051875,30.80598264
0.878947368,0.051764706,30.8260625,30.80598264
0.878947368,0.062352941,30.7769375,30.80598264
0.878947368,0.072941176,30.82775,30.80598264
0.878947368,0.083529412,30.8061875,30.80598264
0.878947368,0.094117647,30.8075625,30.80598264
0.878947368,0.104705882,30.76075,30.80598264
0.878947368,0.115294118,30.7955,30.80598264
0.878947368,0.125882353,30.8088125,30.80598264
