Hu0,a,error,skew,median,duration,swp,r_value,p_value
0.524,0.184,11.626796,0.9833731966,1.25,8.00726817,16.97578947,-0.4934780572,7.03E-26
0.524,0.188,13.18041491,1.411290237,1.1,8.02175,16.94754386,-0.4403588312,2.10E-20
0.524,0.192,14.43575294,1.792981229,1.033333333,8.039849624,16.94823308,-0.4791937901,2.68E-24
0.524,0.196,16.86162877,2.462846657,0.9833333333,8.057811195,16.97091479,-0.4595198416,3.08E-22
0.524,0.2,19.46554384,3.034068775,0.9666666667,8.082873851,16.96887218,-0.4561166224,6.78E-22
0.532,0,65.94746923,-0.07538289629,12.52,5.837192982,17.31030911,-0.002557593807,0.9593831339
0.532,0.004,68.42010001,-0.1332706826,12.67,5.839423559,17.32703843,-0.02045489678,0.683753159
0.532,0.008,64.8730161,-0.04531589488,12.455,5.8400125,17.33435673,0.02878732135,0.5659247552
0.532,0.012,66.86218902,-0.06689927088,12.58,5.845601504,17.33466583,-0.0651762438,0.1938781605
0.532,0.016,67.56531334,-0.1281644891,12.62,5.852368421,17.33794904,0.01772897921,0.7240488712
0.532,0.02,71.27558967,-0.1181047787,12.85,5.857619048,17.32845029,0.005764755283,0.9086111151
0.532,0.024,68.20816224,-0.1553533021,12.66,5.864761905,17.30430242,0.008011125586,0.8732571371
0.532,0.028,69.21664027,-0.09409066686,12.73,5.875814536,17.32114035,-0.09400593128,0.06065087732
0.532,0.032,67.76279993,0.008725700859,12.65,5.884235589,17.32199666,-0.09604935283,0.05523802957
0.532,0.036,68.52371308,0.003243325062,12.7,5.90075188,17.34227235,0.05010556636,0.3181120702
0.532,0.04,66.70307393,0.007424136796,12.59,5.915125313,17.32377611,-0.0789246631,0.1154807482
0.532,0.044,67.80046228,-0.02052225786,12.66,5.934172932,17.33420635,-0.08409051699,0.09346252826
0.532,0.048,71.26184558,-0.06935473329,12.87,5.944072682,17.31058897,-0.1631829028,0.001070530381
0.532,0.052,73.15403467,-0.07518551829,12.99,5.981428571,17.33998747,-0.2372373638,1.65E-06
0.532,0.056,74.75947332,-0.06261762544,13.09,6.003233083,17.3032665,-0.1746173513,0.000458337002
0.532,0.06,82.80118119,-0.1431010464,13.55,6.034912281,17.34104428,-0.1956012867,8.39E-05
0.532,0.064,81.2439991,-0.2191113812,13.46,6.060050125,17.31973266,-0.2329346441,2.56E-06
0.532,0.068,78.93550466,0.4674215232,13.37,6.084010025,17.33524227,-0.2534911379,2.87E-07
0.532,0.072,88.40730495,0.4011946584,13.9,6.129678363,17.35470343,-0.1418413589,0.004528979645
0.532,0.076,84.49788906,0.2780283512,13.69,6.171044277,17.34172932,-0.1593670622,0.001404120081
0.532,0.08,84.7275004,0.4022572516,13.7125,6.21518797,17.31923977,-0.2183884962,1.07E-05
0.532,0.084,86.73719357,0.1819550331,13.82,6.253391813,17.3355848,-0.1314908215,0.008545676965
0.532,0.088,85.89946018,0.5531274227,13.79,6.299515455,17.30860067,-0.1619441942,0.001169826199
0.532,0.092,90.06598052,0.03148020242,14,6.32408939,17.32802005,-0.1517152871,0.002376718706
0.532,0.096,95.8607053,0.3418730844,14.325,6.396165414,17.33777778,-0.2379713608,1.53E-06
0.532,0.1,94.50125122,0.2741104806,14.2625,6.484548872,17.31452381,-0.09923759981,0.04759770482
0.532,0.104,111.8558834,0.1224265222,15.125,6.576862991,17.30256057,-0.1447079376,0.003770721057
0.532,0.108,120.3896527,-0.1671348789,15.5125,6.65235589,17.3319716,-0.1434811526,0.004079916737
0.532,0.112,128.9437826,-0.2180677223,15.9,6.735442774,17.2912406,-0.2006242105,5.44E-05
0.532,0.116,147.3205252,-0.4645667587,16.675,6.882263993,17.33608605,-0.1027343068,0.04025644373
0.532,0.12,170.1151578,-0.7497257514,17.5625,6.983287385,17.32570175,-0.06221045535,0.2149918411
0.532,0.124,261.4805906,-1.116514515,20.675,7.141470343,17.32397243,-0.03769134927,0.4527797342
0.532,0.128,250.9634156,-1.07698059,20.35,7.202255639,17.31530493,-0.1682806733,0.0007382731256
0.532,0.132,280.4321069,-1.295810036,21.2375,7.322222222,17.34069758,-0.1227432932,0.01415181064
0.532,0.136,302.3900168,-1.461792967,21.86666667,7.464661654,17.30985833,-0.1461461729,0.003435347575
0.532,0.14,307.8766581,-1.528466544,22.01666667,7.577527151,17.31694653,-0.2447230707,7.48E-07
0.532,0.144,315.3364499,-1.346881224,22.25,7.653634085,17.31408939,-0.2221129708,7.50E-06
0.532,0.148,317.8852771,-1.231639154,22.33333333,7.743441938,17.33540417,-0.2896481606,3.76E-09
