,Hu0,a,error,skew,median,duration,r_value,p_value,swp
1568,0.74,0.152,3.513495,-0.02766521257,4.75,7.629490393,0.7230609974,9.14E-66,26.38847118
1569,0.74,0.156,3.580547755,-0.1747934099,4.716666667,7.635756057,0.7748484908,4.34E-81,26.38669591
1570,0.74,0.16,3.578904636,-0.1358355947,4.7,7.65380117,0.7459029217,4.59E-72,26.3712406
1571,0.74,0.164,3.545720797,-0.03256539428,4.65,7.673684211,0.7628859946,3.34E-77,26.37744361
1572,0.74,0.168,3.590549152,-0.211292233,4.683333333,7.6732665,0.782333108,1.21E-83,26.38316625
1573,0.74,0.172,4.787328487,-0.1156005757,4.583333333,7.693316625,0.7910367879,9.52E-87,26.35152464
1574,0.74,0.176,4.788674496,-0.2468180525,4.6,7.694402673,0.7945998994,4.63E-88,26.38882623
1575,0.74,0.18,4.779187129,-0.162770899,4.616666667,7.70725,0.7977411797,1.84E-89,26.37479114
1576,0.74,0.184,4.387348266,-0.2162709928,4.583333333,7.718295739,0.816719368,7.71E-97,26.41142439
1577,0.74,0.188,4.382805207,-0.1588311467,4.533333333,7.730325815,0.8030924504,2.68E-91,26.37867586
1578,0.74,0.192,4.42814752,-0.2375474903,4.55,7.749039265,0.8116637265,9.89E-95,26.44388053
1579,0.74,0.196,4.813237814,-0.1849883452,4.533333333,7.745864662,0.8254894671,1.18E-100,26.39799499
1580,0.74,0.2,4.410531745,-0.2433429739,4.516666667,7.767752715,0.8247255889,2.58E-100,26.42491646
1581,0.748,0,0.9473437644,0.1892902928,10.73333333,7.843024227,0.009909869336,0.843566728,26.70918964
1582,0.748,0.004,0.9012190567,0.2194895084,10.08333333,7.844005848,-0.0304007195,0.5448543379,26.72132414
1583,0.748,0.008,0.9195217741,0.2801440947,9.966666667,7.844569758,0.03277632825,0.513867159,26.68751044
1584,0.748,0.012,0.7567011707,0.3189579978,9.983333333,7.8446533,0.02377408344,0.6358821929,26.72063492
1585,0.748,0.016,0.9129785725,0.2269644466,10.48333333,7.837176274,-0.02412404384,0.6309177549,26.71299081
